"ID","ProductName","CurrentCategories","CategoryCount","SuggestedPrimary","SuggestedKeep","RemoveThese","Action","NeedsFix"
"18657","20Ft X 8Ft Open Side Bunded Open Mesh Floor Store","20ft Containers","1","20ft Containers","20ft Containers","","OK - size category","NO"
"18658","20Ft X 8Ft Raised Bunded Store","20ft Containers","1","20ft Containers","20ft Containers","","OK - size category","NO"
"18659","20Ft X 8Ft Tunnel Container (Double End Door) One Trip","20ft Containers","1","20ft Containers","20ft Containers","","OK - size category","NO"
"18660","20Ft X 8Ft Used Cargo-Worthy Dry Van","Used Shipping Containers","1","Used Shipping Containers","Used Shipping Containers","","Pick one used-type category","NO"
"18661","20Ft X 8Ft Used Flat Rack Shipping Containers","Used Shipping Containers","1","Used Shipping Containers","Used Shipping Containers","","Pick one used-type category","NO"
"18662","20Ft X 8Ft Used Shipping Container Open Top","20ft Containers","1","20ft Containers","20ft Containers","","OK - size category","NO"
"18663","30Ft x 8Ft shipping container bulk","30ft Containers","1","30ft Containers","30ft Containers","","OK - size category","NO"
"18664","30Ft X 8Ft Shipping Container One Trip – Cut Down","30ft Containers","1","30ft Containers","30ft Containers","","OK - size category","NO"
"18665","30Ft X 8Ft Used Shipping Container Bulk","Used Shipping Containers","1","Used Shipping Containers","Used Shipping Containers","","Pick one used-type category","NO"
"18666","3M X 4.2M Side Linked Flat Pack Container Bundle (Galvanised)","Flat Pack Containers","1","Flat Pack Units","Flat Pack Units | Flat Pack Containers","","Merge flat pack group","NO"
"18667","3M X 4.2M Side Linked Flat Pack Container Bundle (Powder Coated)","Flat Pack Containers","1","Flat Pack Units","Flat Pack Units | Flat Pack Containers","","Merge flat pack group","NO"
"18668","Used 40Ft Cargo Worthy Shipping Containers","Used Shipping Containers","1","Used Shipping Containers","Used Shipping Containers","","Pick one used-type category","NO"
"18669","40Ft Full Side Access Container High Cube (9′ 6″ High)","40ft Containers","1","40ft Containers","40ft Containers","","OK - size category","NO"
"18670","40Ft High Cube Container – One Trip (9Ft 6″ High)","High Cube Containers","1","40ft Containers","40ft Containers","High Cube Containers","OK - size category","YES"
"18671","40Ft X 8Ft Used Storage Container – Standard","40ft Containers","1","40ft Containers","40ft Containers","","OK - size category","NO"
"18672","40Ft Used Shipping Container","Used Shipping Containers","1","Used Shipping Containers","Used Shipping Containers","","Pick one used-type category","NO"
"18673","40Ft X 8Ft New And Used Container Flat Racks","40ft Containers","1","40ft Containers","40ft Containers","","OK - size category","NO"
